POŘADÍ;TÝM;ZÁPASY;V;VP;PP;P;SKÓRE;BODY;FORMA;FORMA_DETAIL
1;HC Oceláři Třinec;3;3;0;0;0;11:7;9;V,V,V;19. 9. 2026 · HC Oceláři Třinec – HC Škoda Plzeň 3:2 || 18. 9. 2026 · HC Oceláři Třinec – HC Kometa Brno 6:5 || 15. 9. 2026 · BYD Energie Karlovy Vary – HC Oceláři Třinec 0:2
2;Rytíři Kladno;3;2;1;0;0;10:6;8;V,VSn,V;20. 9. 2026 · Bílí Tygři Liberec – Rytíři Kladno 1:3 || 18. 9. 2026 · Rytíři Kladno – HC Sparta Praha 3:2 · po nájezdech || 16. 9. 2026 · HC VÍTKOVICE RIDERA – Rytíři Kladno 3:4
3;Banes Motor Č. Budějovice;3;2;0;1;0;7:5;7;V,V,PP;20. 9. 2026 · Banes Motor Č. Budějovice – HC Olomouc 3:2 || 18. 9. 2026 · Mountfield HK – Banes Motor Č. Budějovice 0:2 || 16. 9. 2026 · Banes Motor Č. Budějovice – BK Mladá Boleslav 2:3 · po prodloužení
4;HC Dynamo Pardubice;4;2;0;0;2;15:13;6;P,V,V,P;22. 9. 2026 · HC Dynamo Pardubice – Bílí Tygři Liberec 4:5 || 20. 9. 2026 · HC Dynamo Pardubice – BYD Energie Karlovy Vary 5:2 || 18. 9. 2026 · HC VERVA Litvínov – HC Dynamo Pardubice 1:3 || 16. 9. 2026 · HC Dynamo Pardubice – Mountfield HK 3:5
5;Mountfield HK;4;2;0;0;2;11:10;6;V,P,P,V;24. 9. 2026 · Mountfield HK – Bílí Tygři Liberec 5:2 || 20. 9. 2026 · HC Kometa Brno – Mountfield HK 3:1 || 18. 9. 2026 · Mountfield HK – Banes Motor Č. Budějovice 0:2 || 16. 9. 2026 · HC Dynamo Pardubice – Mountfield HK 3:5
6;HC VERVA Litvínov;3;2;0;0;1;6:6;6;V,P,V;20. 9. 2026 · HC VÍTKOVICE RIDERA – HC VERVA Litvínov 2:3 || 18. 9. 2026 · HC VERVA Litvínov – HC Dynamo Pardubice 1:3 || 16. 9. 2026 · HC VERVA Litvínov – HC Kometa Brno 2:1
7;BK Mladá Boleslav;3;1;1;0;1;9:9;5;V,P,VP;22. 9. 2026 · HC Sparta Praha – BK Mladá Boleslav 3:5 || 18. 9. 2026 · BK Mladá Boleslav – BYD Energie Karlovy Vary 1:4 || 16. 9. 2026 · Banes Motor Č. Budějovice – BK Mladá Boleslav 2:3 · po prodloužení
8;HC Sparta Praha;3;1;0;1;1;10:10;4;P,PSn,V;22. 9. 2026 · HC Sparta Praha – BK Mladá Boleslav 3:5 || 18. 9. 2026 · Rytíři Kladno – HC Sparta Praha 3:2 · po nájezdech || 16. 9. 2026 · HC Olomouc – HC Sparta Praha 2:5
9;Bílí Tygři Liberec;4;1;0;1;2;9:14;4;P,V,P,PSn;24. 9. 2026 · Mountfield HK – Bílí Tygři Liberec 5:2 || 22. 9. 2026 · HC Dynamo Pardubice – Bílí Tygři Liberec 4:5 || 20. 9. 2026 · Bílí Tygři Liberec – Rytíři Kladno 1:3 || 16. 9. 2026 · HC Škoda Plzeň – Bílí Tygři Liberec 2:1 · po nájezdech
10;HC Kometa Brno;3;1;0;0;2;9:9;3;V,P,P;20. 9. 2026 · HC Kometa Brno – Mountfield HK 3:1 || 18. 9. 2026 · HC Oceláři Třinec – HC Kometa Brno 6:5 || 16. 9. 2026 · HC VERVA Litvínov – HC Kometa Brno 2:1
11;HC Škoda Plzeň;3;0;1;1;1;6:7;3;P,PP,VSn;19. 9. 2026 · HC Oceláři Třinec – HC Škoda Plzeň 3:2 || 18. 9. 2026 · HC Olomouc – HC Škoda Plzeň 3:2 · po prodloužení || 16. 9. 2026 · HC Škoda Plzeň – Bílí Tygři Liberec 2:1 · po nájezdech
12;BYD Energie Karlovy Vary;3;1;0;0;2;6:8;3;P,V,P;20. 9. 2026 · HC Dynamo Pardubice – BYD Energie Karlovy Vary 5:2 || 18. 9. 2026 · BK Mladá Boleslav – BYD Energie Karlovy Vary 1:4 || 15. 9. 2026 · BYD Energie Karlovy Vary – HC Oceláři Třinec 0:2
13;HC Olomouc;3;0;1;0;2;7:10;2;P,VP,P;20. 9. 2026 · Banes Motor Č. Budějovice – HC Olomouc 3:2 || 18. 9. 2026 · HC Olomouc – HC Škoda Plzeň 3:2 · po prodloužení || 16. 9. 2026 · HC Olomouc – HC Sparta Praha 2:5
14;HC VÍTKOVICE RIDERA;2;0;0;0;2;5:7;0;P,P;20. 9. 2026 · HC VÍTKOVICE RIDERA – HC VERVA Litvínov 2:3 || 16. 9. 2026 · HC VÍTKOVICE RIDERA – Rytíři Kladno 3:4
