JMÉNO;PŘÍJMENÍ;SMLOUVA;POZICE;TÝM;VĚK;DRŽENÍ HOLE;NÁRODNOST;Foto;Zdroj
Milan;Klouček;26/27;B;CBU;28;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH-web/main/foto_hrac/Kloucek.png?v=2;Motor ČB
Matyáš;Mařík;26/27+1;B;CBU;19;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Marik.png;Motor ČB
Jan;Strmeň;26/27+1;B;CBU;34;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Strmen.png;Motor ČB
Ondřej;Kachyňa;27/28;O;CBU;28;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Kachyna.png;Motor ČB
Tomáš;Kundrátek;27/28;O;CBU;36;P;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Kundratek.png;Motor ČB
Pavel;Pýcha;26/27;O;CBU;30;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Pycha.png;Motor ČB
Jan;Štencel;27/28;O;CBU;31;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Stencel.png;Motor ČB
Ondřej;Vála;27/28;O;CBU;28;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Vala.png;Motor ČB
Roman;Vráblík;27/28;O;CBU;36;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Vrablik.png;Motor ČB
Filip;Ahl;26/27+1;LW/RW;CBU;28;L;SWE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Ahl.png;Motor ČB
Martin;Beránek;27/28;RW/LW;CBU;25;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Beranek.png;Motor ČB
Michal;Bulíř;27/28;C;CBU;34;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Bulir.png;Motor ČB
Samuel;Drančák;27/28+1;C;CBU;20;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Drancak.png;Motor ČB
Tomáš;Chlubna;26/27+1;RW;CBU;23;P;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Chlubna.png;Motor ČB
Štěpán;Hoch;26/27;LW;CBU;19;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Hoch.png;Motor ČB
Matyáš;Humeník;26/27+1;RW;CBU;19;P;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Humenik.png;Motor ČB
Josef;Koláček;27/28;RW;CBU;23;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Kolacek.png;Motor ČB
Róbert;Lantoši;27/28;RW/C;CBU;30;P;SVK;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Lantosi.png;Motor ČB
Jakub;Lev;27/28+1;F;CBU;19;P;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Lev.png;Motor ČB
Pavel;Novák;26/27;RW;CBU;24;P;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Novak.png;Motor ČB
Nick;Olesen;27/28;W/C;CBU;30;L;DEN;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Olesen.png;Motor ČB
Jan;Ordoš;27/28;RW/LW;CBU;29;P;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Ordos.png;Motor ČB
Jakub;Pour;27/28;RW;CBU;27;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Pour.png;Motor ČB
Matěj;Toman;27/28;C/W;CBU;25;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Toman.png;Motor ČB
Marek;Zachar;27/28+1;C/W;CBU;27;L;CZE;https://raw.githubusercontent.com/Adamos1511/ELH_web/main/foto_hrac/Zachar.png;Motor ČB
Adam;Brízgala;26/27;B;KLA;27;L;CZE;;
Dominik;Pavlát ;27/28+1;B;KLA;26;L;CZE;;
Michal;Houdek;26/27;O;KLA;25;L;CZE;;
Martin;Jandus;26/27;O;KLA;28;P;CZE;;
Michal;Kempný;26/27;O;KLA;35;L;CZE;;
Martin;Matějíček;26/27+1;O;KLA;20;L;CZE;;
Griffin;Mendel;26/27;O;KLA;27;L;CAN;;
Phil;Pietroniro;26/27;O;KLA;31;P;ITA;;
Tomáš;Tomek;26/27+1;O;KLA;23;L;CZE;;
Tomáš;Vandas;26/27+1;O;KLA;20;P;CZE;;
Daniel;Audette;26/27;C/LW;KLA;30;L;CAN;;
Adam;Bareš;26/27;F;KLA;22;P;CZE;;
Ondřej;Bláha;26/27;LW;KLA;25;L;CZE;;
Miroslav;Forman;26/27;RW;KLA;35;L;CZE;;
Nicolas;Hlava;27/28;LW/RW;KLA;31;R;CZE;;
Kelly;Klíma;27/28;RW;KLA;28;P;CZE;;
Jakub;Konečný;27/28;C;KLA;23;L;CZE;;
Adam;Kubík;28/29;LW;KLA;27;L;CZE;;
Oskar;Lisler;26/27;LW/RW;KLA;19;P;CZE;;
Marcel;Marcel;27/28+1;LW/RW;KLA;22;L;CZE;;
Niko;Ojamaki;26/27;RW;KLA;30;P;FIN;;
Filip;Přikryl;27/28;C/LW;KLA;25;L;CZE;;
Martin;Procházka;26/27;RW/LW;KLA;32;P;CZE;;
Sebastián;Redlich;26/27+1;F;KLA;22;L;CZE;;
Martin;Ryšavý;26/27;LW;KLA;23;L;CZE;;
Samuel;Vigneault;26/27;C;KLA;30;L;CAN;;
Jan;Kavan;28/29;B;KOM;20;P;CZE;;
Eugen;Rabčan;26/27;B;KOM;24;L;SVK;;
Aleš;Stezka;27/28;B;KOM;29;L;CZE;;
Brandon;Davidson;26/27;O;KOM;34;L;CAN;;
Michal;Gulaši;26/27;O;KOM;39;L;CZE;;
Filip;Král;27/28;O;KOM;26;L;CZE;;
Radek;Kučeřík;26/27;O;KOM;24;L;CZE;;
Dalimil;Mikyska;26/27;O;KOM;26;L;CZE;;
Richard;Nedomlel;28/29;O;KOM;32;L;CZE;;
Jan;Ščotka;27/28;O;KOM;29;L;CZE;;
Luke;Witkowski;26/27;O;KOM;36;P;USA;;
Libor;Zábranský;27/28;O;KOM;25;P;CZE;;
Lukáš;Cingel;26/27;C;KOM;33;L;SVK;;
Maxim;Čajkovič;26/27;RW;KOM;25;P;SVK;;
Jan;Ekrt;26/27;C;KOM;21;P;CZE;;
Jakub;Flek;27/28+1;LW/RW;KOM;33;L;CZE;;
