Jméno;Příjmení;Tým ELH;Typ hráče;Sekce;Typ řádku;Pořadí;Sezona;Soutěž;Klub;Počet klubů;Z;G;A;B;+/-;+;-;TM;GV;GP;GO;Č;GOb;Zás;SP;ZZ;V;P;R;Pr.;SO;Z%;T;Profil URL;Kariéra URL
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;1;;ELMD;;MD Vsetín;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;2;;ELMD – V;;MD Vsetín;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;3;;ELIOD servis ELMD;;MD Vsetín;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;4;;ELIOD servis ELMD – V;;MD Vsetín;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;5;;ELSD;;SD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;6;;ELSD – Z;;SD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;7;;ELSD II – A;;SD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;8;;ELSD – play off;;SD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;9;;ELIOD ELMD;;MD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;10;;ELIOD ELMD – Z;;MD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;11;;ELIOD ELMD – závěrečný turnaj;;MD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;12;;ELSD;;SD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;13;;ELSD – Z;;SD Sparta Praha;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;14;;ELSD;;SD Vsetín;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;15;;ELSD II – B;;SD Vsetín;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
Jindřich;Abdul;VIT;HRAC;KLUBOVA;SOUHRN;16;;ELSD;;Celkem;;;;;;;;;;;;;;;;;;;;;;;;https://www.hokej.cz/hrac/jindrich-abdul/14203;https://www.hokej.cz/hrac/jindrich-abdul/14203/career?stats-section=all
