1.kolo;;;;;
;HC Energie Karlovy Vary;VS;HC Oceláři Třinec;15.09.2026;18:00
;HC VÍTKOVICE RIDERA;VS;Rytíři Kladno;16.09.2026;17:30
;HC Škoda Plzeň;VS;Bílí Tygři Liberec;16.09.2026;17:30
;HC Dynamo Pardubice;VS;Mountfield HK;16.09.2026;18:00
;HC Olomouc;VS;HC Sparta Praha;16.09.2026;18:00
;HC Kometa Brno;VS;HC VERVA Litvínov;16.09.2026;18:00
;Banes Motor Č. Budějovice;VS;BK Mladá Boleslav;16.09.2026;17:30
;;;;;
2.kolo;;;;;
;HC Oceláři Třinec;VS;HC Kometa Brno;18.09.2026;17:00
;HC VERVA Litvínov;VS;HC Dynamo Pardubice;18.09.2026;17:30
;BK Mladá Boleslav;VS;HC Energie Karlovy Vary;18.09.2026;17:30
;Bílí Tygři Liberec;VS;HC VÍTKOVICE RIDERA;18.09.2026;18:00
;Mountfield HK;VS;Banes Motor Č. Budějovice;18.09.2026;18:00
;HC Olomouc;VS;HC Škoda Plzeň;18.09.2026;18:00
;Rytíři Kladno;VS;HC Sparta Praha;18.09.2026;18:00
;;;;;
3.kolo;;;;;
;HC Sparta Praha;VS;BK Mladá Boleslav;;
;Bílí Tygři Liberec;VS;Rytíři Kladno;;
;HC Škoda Plzeň;VS;HC Oceláři Třinec;;
;HC Kometa Brno;VS;Mountfield HK;;
;HC Dynamo Pardubice;VS;HC Energie Karlovy Vary;;
;Banes Motor Č. Budějovice;VS;HC Olomouc;;
;HC VÍTKOVICE RIDERA;VS;HC VERVA Litvínov;;
;;;;;
4.kolo;;;;;
;HC Oceláři Třinec;VS;HC VÍTKOVICE RIDERA;;
;BK Mladá Boleslav;VS;HC Dynamo Pardubice;;
;HC VERVA Litvínov;VS;HC Sparta Praha;;
;Rytíři Kladno;VS;HC Škoda Plzeň;;
;Mountfield HK;VS;Bílí Tygři Liberec;;
;HC Energie Karlovy Vary;VS;Banes Motor Č. Budějovice;;
;HC Olomouc;VS;HC Kometa Brno;;
;;;;;
5.kolo;;;;;
;Rytíři Kladno;VS;HC Olomouc;;
;HC Sparta Praha;VS;HC Energie Karlovy Vary;;
;Bílí Tygři Liberec;VS;HC Oceláři Třinec;;
;HC Škoda Plzeň;VS;Mountfield HK;;
;HC Kometa Brno;VS;HC Dynamo Pardubice;;
;Banes Motor Č. Budějovice;VS;HC VERVA Litvínov;;
;HC VÍTKOVICE RIDERA;VS;BK Mladá Boleslav;;
;;;;;
6.kolo;;;;;
;HC Oceláři Třinec;VS;Rytíři Kladno;;
;HC VERVA Litvínov;VS;Bílí Tygři Liberec;;
;BK Mladá Boleslav;VS;HC Škoda Plzeň;;
;HC Dynamo Pardubice;VS;Banes Motor Č. Budějovice;;
;HC Olomouc;VS;HC VÍTKOVICE RIDERA;;
;HC Energie Karlovy Vary;VS;HC Kometa Brno;;
;Mountfield HK;VS;HC Sparta Praha;;
;;;;;
7.kolo;;;;;
;HC Oceláři Třinec;VS;HC VERVA Litvínov;;
;HC Škoda Plzeň;VS;HC Dynamo Pardubice;;
;HC VÍTKOVICE RIDERA;VS;HC Energie Karlovy Vary;;
;Rytíři Kladno;VS;Mountfield HK;;
;Bílí Tygři Liberec;VS;HC Olomouc;;
;HC Kometa Brno;VS;BK Mladá Boleslav;;
;HC Sparta Praha;VS;Banes Motor Č. Budějovice;;
;;;;;
8.kolo;;;;;
;BK Mladá Boleslav;VS;Bílí Tygři Liberec;;
;HC Energie Karlovy Vary;VS;HC Škoda Plzeň;;
;HC Olomouc;VS;HC Oceláři Třinec;;
;HC Dynamo Pardubice;VS;HC Sparta Praha;;
;Mountfield HK;VS;HC VÍTKOVICE RIDERA;;
;Banes Motor Č. Budějovice;VS;HC Kometa Brno;;
;HC VERVA Litvínov;VS;Rytíři Kladno;;
;;;;;
9.kolo;;;;;
;HC Oceláři Třinec;VS;Mountfield HK;;
;HC VERVA Litvínov;VS;HC Olomouc;;
;HC Škoda Plzeň;VS;Banes Motor Č. Budějovice;;
;HC VÍTKOVICE RIDERA;VS;HC Dynamo Pardubice;;
;HC Kometa Brno;VS;HC Sparta Praha;;
;Rytíři Kladno;VS;BK Mladá Boleslav;;
;Bílí Tygři Liberec;VS;HC Energie Karlovy Vary;;
;;;;;
10.kolo;;;;;
;BK Mladá Boleslav;VS;HC VERVA Litvínov;;
;HC Sparta Praha;VS;HC VÍTKOVICE RIDERA;;
;HC Energie Karlovy Vary;VS;Rytíři Kladno;;
;HC Dynamo Pardubice;VS;HC Oceláři Třinec;;
;Banes Motor Č. Budějovice;VS;Bílí Tygři Liberec;;
;Mountfield HK;VS;HC Olomouc;;
;HC Kometa Brno;VS;HC Škoda Plzeň;;
;;;;;
11.kolo;;;;;
;HC Oceláři Třinec;VS;BK Mladá Boleslav;;
;HC Škoda Plzeň;VS;HC Sparta Praha;;
;HC VÍTKOVICE RIDERA;VS;Banes Motor Č. Budějovice;;
;HC VERVA Litvínov;VS;Mountfield HK;;
;HC Olomouc;VS;HC Energie Karlovy Vary;;
;Bílí Tygři Liberec;VS;HC Dynamo Pardubice;;
;Rytíři Kladno;VS;HC Kometa Brno;;
;;;;;
12.kolo;;;;;
;HC Energie Karlovy Vary;VS;HC VERVA Litvínov;;
;BK Mladá Boleslav;VS;Mountfield HK;;
;HC Sparta Praha;VS;HC Oceláři Třinec;;
;HC Škoda Plzeň;VS;HC VÍTKOVICE RIDERA;;
;HC Dynamo Pardubice;VS;HC Olomouc;;
;Banes Motor Č. Budějovice;VS;Rytíři Kladno;;
;HC Kometa Brno;VS;Bílí Tygři Liberec;;
;;;;;
13.kolo;;;;;
;HC Oceláři Třinec;VS;Banes Motor Č. Budějovice;;
;HC VERVA Litvínov;VS;HC Škoda Plzeň;;
;HC VÍTKOVICE RIDERA;VS;HC Kometa Brno;;
;Rytíři Kladno;VS;HC Dynamo Pardubice;;
;Bílí Tygři Liberec;VS;HC Sparta Praha;;
;HC Olomouc;VS;BK Mladá Boleslav;;
;Mountfield HK;VS;HC Energie Karlovy Vary;;
;;;;;
14.kolo;;;;;
;BK Mladá Boleslav;VS;Banes Motor Č. Budějovice;;
;Rytíři Kladno;VS;HC VÍTKOVICE RIDERA;;
;Bílí Tygři Liberec;VS;HC Škoda Plzeň;;
;Mountfield HK;VS;HC Dynamo Pardubice;;
;HC Sparta Praha;VS;HC Olomouc;;
;HC VERVA Litvínov;VS;HC Kometa Brno;;
